date,foreTotalRadiation,foreWindSpeed,foreWindDirection,foreHumidity,foreTemp,forePressure,OT
2022-09-14 13:45:00,762.8,2.37,134.2,71.4,23.6,1007.8,142.461
2022-09-14 14:00:00,760.2,2.44,136.0,70.3,23.8,1007.5,162.1
2022-09-14 14:15:00,739.8,2.43,136.6,69.9,23.9,1007.4,161.4
2022-09-14 14:30:00,719.4,2.42,137.3,69.5,24.0,1007.3,139.434
2022-09-14 14:45:00,699.0,2.42,137.9,69.2,24.1,1007.1,133.926
2022-09-14 15:00:00,678.6,2.41,138.6,68.8,24.2,1007.0,125.73
2022-09-14 15:15:00,652.6,2.38,139.5,68.8,24.3,1006.9,129.234
2022-09-14 15:30:00,626.5,2.35,140.4,68.7,24.3,1006.7,123.725
2022-09-14 15:45:00,600.4,2.32,141.4,68.6,24.3,1006.6,120.897
2022-09-14 16:00:00,574.4,2.29,142.3,68.6,24.3,1006.5,109.564
2022-09-14 16:15:00,526.9,2.34,142.2,69.1,24.3,1006.5,107.868
2022-09-14 16:30:00,479.4,2.39,142.1,69.6,24.2,1006.4,95.1
2022-09-14 16:45:00,431.9,2.44,142.0,70.1,24.1,1006.4,82.315
2022-09-14 17:00:00,384.4,2.49,141.8,70.6,24.1,1006.3,76.704
2022-09-14 17:15:00,326.2,2.53,140.6,71.4,23.9,1006.3,68.502
2022-09-14 17:30:00,268.0,2.56,139.4,72.3,23.8,1006.3,55.247
2022-09-14 17:45:00,209.8,2.59,138.1,73.2,23.6,1006.3,45.936
2022-09-14 18:00:00,151.6,2.63,136.9,74.1,23.5,1006.4,29.694
2022-09-14 18:15:00,114.0,2.46,135.7,77.4,22.9,1006.5,20.604
2022-09-14 18:30:00,76.3,2.29,134.5,80.7,22.4,1006.6,8.7
2022-09-14 18:45:00,38.7,2.11,133.4,83.9,21.9,1006.7,1.9
2022-09-14 19:00:00,38.7,2.11,133.4,83.9,21.9,1006.7,1.9
2022-09-15 07:00:00,9.9,1.55,113.8,98.7,19.3,1009.1,0.505
2022-09-15 07:15:00,21.4,1.64,113.8,98.3,19.4,1009.1,0.98
2022-09-15 07:30:00,32.9,1.74,113.8,98.0,19.5,1009.1,1.683
2022-09-15 07:45:00,44.5,1.83,113.8,97.6,19.5,1009.1,3.636
2022-09-15 08:00:00,56.0,1.92,113.8,97.3,19.6,1009.1,4.04
2022-09-15 08:15:00,66.7,1.88,113.6,97.1,19.7,1008.9,7.524
2022-09-15 08:30:00,77.5,1.84,113.3,97.0,19.7,1008.8,9.108
2022-09-15 08:45:00,88.2,1.79,113.0,96.9,19.8,1008.6,9.898
2022-09-15 09:00:00,98.9,1.75,112.8,96.7,19.8,1008.5,14.6
2022-09-15 09:15:00,109.7,1.73,111.2,96.5,19.8,1008.3,13.566
2022-09-15 09:30:00,120.5,1.71,109.7,96.3,19.8,1008.2,13.068
2022-09-15 09:45:00,131.2,1.69,108.1,96.1,19.9,1008.0,10.976
